Framework,Subject ID,surf_type,Hemisphere,Metric,Label,Score,Total Triangles
csrf,214221,pial,rh,Hausdorff Distance,,5.162838136415469,
csrf,205220,pial,rh,Self-Intersections (SIF),,-1,214526
csrf,255639,pial,rh,Self-Intersections (SIF),,-1,201789
csrf,285345,pial,rh,Hausdorff Distance,,5.052304568413855,
csrf,211417,pial,rh,Chamfer Distance,,0.8755911709613879,
csrf,211316,white,lh,Self-Intersections (SIF),,-1,199866
csrf,233326,pial,rh,Self-Intersections (SIF),,-1,257911
csrf,209228,pial,rh,Hausdorff Distance,,7.12264305606405,
csrf,214019,pial,rh,Self-Intersections (SIF),,-1,209566
csrf,211215,pial,rh,Chamfer Distance,,0.8541570542576364,
csrf,284646,pial,rh,Chamfer Distance,,0.9102189849200725,
csrf,250427,pial,rh,Hausdorff Distance,,5.244909595512857,
csrf,200614,pial,rh,Chamfer Distance,,0.922579115324173,
csrf,210011,pial,rh,Chamfer Distance,,0.8648491214770664,
csrf,203418,pial,rh,Hausdorff Distance,,6.2493530556413095,
csrf,275645,pial,rh,Hausdorff Distance,,8.674525973957545,
csrf,214726,pial,rh,Chamfer Distance,,0.9042688514922911,
csrf,208226,pial,rh,Hausdorff Distance,,7.280501585981218,
csrf,209329,pial,rh,Self-Intersections (SIF),,-1,203664
csrf,228434,pial,rh,Self-Intersections (SIF),,-1,207477
csrf,200614,pial,rh,Hausdorff Distance,,6.150984182484663,
csrf,200109,pial,rh,Chamfer Distance,,0.8945865815375886,
csrf,203418,pial,rh,Self-Intersections (SIF),,-1,221746
csrf,268850,pial,rh,Hausdorff Distance,,5.798677490008049,
csrf,275645,pial,rh,Self-Intersections (SIF),,-1,213314
csrf,239944,pial,rh,Hausdorff Distance,,7.820326925494655,
csrf,212116,pial,rh,Chamfer Distance,,0.8783472025325871,
csrf,208226,pial,rh,Self-Intersections (SIF),,-1,220500
csrf,210617,pial,rh,Hausdorff Distance,,6.129562847759583,
csrf,263436,pial,rh,Chamfer Distance,,0.8782468207884997,
